Estate,Code
A座 (1-8室),SBEABPEYSG
A座 (9-16室),SBEABPEYEG
B座 (1-8室),SBSABPEYSG
B座 (9-16室),SBSABPEYEG
C座 (1-8室),SBPABPEYSG
C座 (9-16室),SBPABPEYEG
D座 (1-8室),SBWEBPEYSG
D座 (9-16室),SBWEBPEYEG
E座 (1-8室),SBYEBPEYSG
E座 (9-16室),SBYEBPEYEG
F座 (1-8室),SBDEBPEYSG
F座 (9-16室),SBDEBPEYEG
G座 (1-8室),SBGEBPEYSG
G座 (9-16室),SBGEBPEYEG
H座 (1-8室),SBBEBPEYSG
H座 (9-16室),SBBEBPEYEG
J座 (1-8室),SBDYBPEYSG
J座 (9-16室),SBDYBPEYEG
K座 (1-8室),SBDYBPEOSG
K座 (9-16室),SBDYBPEOEG
L座 (1-8室),SBYYBPEHSG
L座 (9-16室),SBYYBPEHEG
M座 (1-8室),SBYYBPEVSG
M座 (9-16室),SBYYBPEVEG
N座 (1-8室),OVVUURUYOD
N座 (9-16室),OVVUURUYUD
P座 (1-8室),OVSUURUYOD
P座 (9-16室),OVSUURUYUD
Q座 (1-8室),OVQUURUYOD
Q座 (9-16室),OVQUURUYUD
R座 (1-8室),OVUUURUYOD
R座 (9-16室),OVUUURUYUD
